Time,Symbol,Type,Price,SL,TP,Lots,Profit,Comment,Status
2026-04-21 07:31:00,XAUUSD,SELL,4791.74,4794.29,4787.94,0.01,0,ENTRY,OPEN
2026-04-21 07:31:00,XAUUSD,SELL,4791.76,4794.29,4788.01,0.01,0,ENTRY,OPEN
2026-04-21 07:35:55,Volatility 25 Index,SELL,3166.494,3173.354,3156.203,0.5,0,ENTRY,OPEN
2026-04-21 07:46:42,XAUUSD,SELL,4794.46,4799.09,4787.54,0.01,0,ENTRY,OPEN
2026-04-21 07:46:42,XAUUSD,SELL,4794.46,4799.09,4787.54,0.01,0,ENTRY,OPEN
2026-04-21 07:48:15,XAUUSD,SELL,4792.46,4798.91,4782.81,0.01,0,ENTRY,OPEN
2026-04-21 07:48:15,XAUUSD,SELL,4792.38,4798.91,4782.61,0.01,0,ENTRY,OPEN
2026-04-21 07:48:15,XAUUSD,SELL,4792.38,4798.91,4782.61,0.01,0,ENTRY,OPEN
2026-04-21 08:08:07,XAUUSD,SELL,4783.2,4789.93,4773.14,0.01,0,ENTRY,OPEN
2026-04-21 08:08:07,XAUUSD,SELL,4783.21,4789.93,4773.14,0.01,0,ENTRY,OPEN
2026-04-21 08:11:44,XAUUSD,SELL,4789.94,4794.02,4783.85,0.01,0,ENTRY,OPEN
2026-04-21 08:11:44,XAUUSD,SELL,4789.94,4794.02,4783.85,0.01,0,ENTRY,OPEN
2026-04-21 08:22:08,XAUUSD,SELL,4781.61,4790.06,4768.96,0.01,0,ENTRY,OPEN
2026-04-21 08:22:11,XAUUSD,SELL,4781.78,4790.07,4769.37,0.01,0,ENTRY,OPEN
2026-04-21 09:09:47,XAUUSD,SELL,4780.69,4783.86,4776.0,0.01,0,ENTRY,OPEN
2026-04-21 09:09:49,XAUUSD,SELL,4780.79,4783.86,4776.2,0.01,0,ENTRY,OPEN
2026-04-21 09:09:51,XAUUSD,SELL,4780.9,4783.86,4776.48,0.01,0,ENTRY,OPEN
2026-04-21 09:10:26,XAUUSD,SELL,4783.5,4786.25,4779.4,0.01,0,ENTRY,OPEN
2026-04-21 09:10:27,XAUUSD,BUY,4784.08,0,0,0.01,-3.39,Stop Loss 🛑,CLOSED
2026-04-21 09:10:28,XAUUSD,BUY,4784.08,0,0,0.01,-3.28,Stop Loss 🛑,CLOSED
2026-04-21 09:10:30,XAUUSD,BUY,4784.08,0,0,0.01,-3.2,Stop Loss 🛑,CLOSED
2026-04-21 09:10:31,XAUUSD,SELL,4783.52,4787.16,4778.09,0.01,0,ENTRY,OPEN
2026-04-21 09:10:33,XAUUSD,SELL,4783.5,4787.16,4778.04,0.01,0,ENTRY,OPEN
2026-04-21 09:13:50,XAUUSD,SELL,4784.51,4788.61,4778.38,0.01,0,ENTRY,OPEN
2026-04-21 09:13:50,XAUUSD,SELL,4784.53,4788.61,4778.38,0.01,0,ENTRY,OPEN
2026-04-21 09:13:53,XAUUSD,SELL,4784.48,4788.61,4778.3,0.01,0,ENTRY,OPEN
2026-04-21 09:13:53,XAUUSD,SELL,4784.5,4788.61,4778.35,0.01,0,ENTRY,OPEN
2026-04-21 09:13:55,XAUUSD,SELL,4784.36,4788.61,4778.0,0.01,0,ENTRY,OPEN
